Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR
Qd 7s 7c,QsJc,0.071,81.11,67.3691,125.849
Qd 7s 7c,QsQc,0.224,99.21,201.375,307.534
Qd 7s 7c,Qs8d,0.001,79.27,63.4088,121.198
Qd 7s 7c,Qs9d,0.105,79.64,63.2669,120.365
Qd 7s 7c,QsTd,0.103,80.35,64.928,122.43
Qd 7s 7c,QsJd,0.083,81.26,67.6427,126.119
Qd 7s 7c,Qs8h,0.002,79.22,63.1197,120.717
Qd 7s 7c,Qs9h,0.090,79.51,63.235,120.504
Qd 7s 7c,QsTh,0.096,80.22,64.8289,122.445
Qd 7s 7c,QsJh,0.091,81.11,67.5648,126.218
Qd 7s 7c,QsQh,0.185,99.22,197.676,301.857
Qd 7s 7c,Qs2s,0.085,78.98,62.7366,120.361
Qd 7s 7c,Qs3s,0.142,78.91,62.516,120.043
Qd 7s 7c,Qs4s,0.131,78.88,62.4491,119.948
Qd 7s 7c,Qs5s,0.103,78.86,62.4027,119.895
Qd 7s 7c,Qs6s,0.107,79.04,62.5811,119.963
Qd 7s 7c,Qs8s,0.101,80.17,65.7351,124.235
Qd 7s 7c,Qs9s,0.123,80.45,66.0332,124.361
Qd 7s 7c,QsTs,0.109,81.14,67.6421,126.313
Qd 7s 7c,QsJs,0.127,81.97,70.2916,129.926
Qd 7s 7c,Ks8c,0.115,38.84,26.0664,101.697
Qd 7s 7c,Ks9c,0.114,40.68,26.7505,99.6265
Qd 7s 7c,KsTc,0.142,42.66,28.1174,99.8618
Qd 7s 7c,KsJc,0.097,43.97,28.4513,98.0289
Qd 7s 7c,KsQc,0.105,84.22,73.1152,131.535
Qd 7s 7c,KsKc,0.119,86.04,91.779,161.624
Qd 7s 7c,Ks7d,0.001,94.14,138.931,223.594
Qd 7s 7c,Ks8d,0.093,38.81,26.198,102.269
Qd 7s 7c,Ks9d,0.133,40.79,27.0612,100.529
Qd 7s 7c,KsTd,0.160,42.75,28.3278,100.403
Qd 7s 7c,KsJd,0.130,44.07,28.6504,98.4979
Qd 7s 7c,KsKd,0.125,86.19,91.9296,161.599
Qd 7s 7c,Ks7h,0.002,94.30,139.841,224.695
Qd 7s 7c,Ks8h,0.099,38.76,25.799,100.844
Qd 7s 7c,Ks9h,0.105,40.66,26.6699,99.3826
Qd 7s 7c,KsTh,0.109,42.62,28.0477,99.71
Qd 7s 7c,KsJh,0.105,43.91,28.376,97.9072
Qd 7s 7c,KsQh,0.138,84.35,73.4887,131.998
Qd 7s 7c,KsKh,0.115,86.12,92.8523,163.354
Qd 7s 7c,Ks2s,0.083,39.75,28.2387,107.643
Qd 7s 7c,Ks3s,0.081,39.93,28.2187,107.086
Qd 7s 7c,Ks4s,0.110,40.13,28.2919,106.818
Qd 7s 7c,Ks5s,0.102,40.37,28.3672,106.468
Qd 7s 7c,Ks6s,0.086,40.78,28.6999,106.623
Qd 7s 7c,Ks8s,0.036,41.65,28.9067,105.147
Qd 7s 7c,Ks9s,0.067,43.39,29.7681,103.954
Qd 7s 7c,KsTs,0.115,45.25,31.4489,105.304
Qd 7s 7c,KsJs,0.150,46.47,31.8815,103.943
Qd 7s 7c,KsQs,0.248,84.96,75.8662,135.302
Qd 7s 7c,As3c,0.112,48.87,28.6243,88.7387
Qd 7s 7c,As4c,0.140,49.14,28.8665,88.9995
Qd 7s 7c,As5c,0.141,49.50,29.156,89.2483
Qd 7s 7c,As6c,0.191,50.02,29.6732,89.8808
Qd 7s 7c,As8c,0.182,51.14,30.4611,90.2483
Qd 7s 7c,As9c,0.119,52.30,30.971,89.7186
Qd 7s 7c,AsTc,0.091,54.59,33.0206,91.6562
Qd 7s 7c,AsJc,0.071,56.19,34.1122,91.9897
Qd 7s 7c,AsQc,0.095,86.52,77.7975,136.245
Qd 7s 7c,AsKc,0.175,60.28,41.545,104.428
Qd 7s 7c,AsAc,0.158,89.48,98.7776,167.257
Qd 7s 7c,As3d,0.106,48.77,28.5334,88.6394
Qd 7s 7c,As4d,0.132,49.16,28.9096,89.1038
Qd 7s 7c,As5d,0.149,49.50,29.2948,89.6611
Qd 7s 7c,As6d,0.184,50.00,29.7802,90.2391
Qd 7s 7c,As7d,0.132,94.36,141.982,227.985
Qd 7s 7c,As8d,0.198,51.11,30.5351,90.5298
Qd 7s 7c,As9d,0.128,52.45,31.2402,90.2396
Qd 7s 7c,AsTd,0.105,54.71,33.2449,92.0616
Qd 7s 7c,AsJd,0.103,56.33,34.3617,92.4309
Qd 7s 7c,AsKd,0.167,60.42,41.9454,105.184
Qd 7s 7c,AsAd,0.158,89.40,98.3173,166.62
Qd 7s 7c,As3h,0.076,48.75,28.4277,88.3575
Qd 7s 7c,As4h,0.066,49.13,28.7178,88.5726
Qd 7s 7c,As5h,0.100,49.46,28.981,88.7802
Qd 7s 7c,As6h,0.129,49.96,29.4223,89.2378
Qd 7s 7c,As7h,0.138,94.51,142.811,228.958
Qd 7s 7c,As8h,0.123,51.07,30.2544,89.7558
Qd 7s 7c,As9h,0.092,52.30,30.9157,89.5596
Qd 7s 7c,AsTh,0.109,54.56,32.9574,91.5187
Qd 7s 7c,AsJh,0.127,56.14,34.1314,92.1118
Qd 7s 7c,AsQh,0.114,86.65,78.2229,136.78
Qd 7s 7c,AsKh,0.135,60.23,41.805,105.163
Qd 7s 7c,AsAh,0.159,89.33,98.8351,167.632
Qd 7s 7c,As2s,0.103,50.95,32.3342,96.1587
Qd 7s 7c,As3s,0.081,51.20,32.3395,95.6978
Qd 7s 7c,As4s,0.108,51.47,32.5737,95.8959
Qd 7s 7c,As5s,0.110,51.80,32.8063,95.9538
Qd 7s 7c,As6s,0.129,52.31,33.279,96.3932
Qd 7s 7c,As8s,0.154,53.39,34.3057,97.3488
Qd 7s 7c,As9s,0.167,54.50,34.7017,96.4813
Qd 7s 7c,AsTs,0.165,56.64,36.9941,98.96
Qd 7s 7c,AsJs,0.148,58.12,38.1439,99.4383
Qd 7s 7c,AsQs,0.179,87.23,81.2553,141.131
Qd 7s 7c,AsKs,0.155,62.14,45.1479,110.077
7h 4h 2h,5c4c,0.211,53.20,35.8745,102.175
7h 4h 2h,6c5c,0.496,35.90,34.2909,144.74
7h 4h 2h,7c5c,0.647,58.80,41.1133,105.943
7h 4h 2h,7c6c,0.649,58.67,40.9665,105.791
7h 4h 2h,8c6c,0.526,28.21,27.8809,149.764
7h 4h 2h,8c7c,0.576,59.77,41.7419,105.814
7h 4h 2h,9c6c,0.540,19.15,20.6516,163.427
7h 4h 2h,9c7c,0.537,59.82,41.5113,105.135
7h 4h 2h,9c8c,0.575,20.40,21.5111,159.763
7h 4h 2h,9c8d,0.294,20.37,21.5179,160.025
7h 4h 2h,9c8h,0.297,41.27,35.411,129.997
7h 4h 2h,9c8s,0.294,20.37,21.5179,160.025
7h 4h 2h,Tc5c,0.076,19.78,20.7214,158.711
7h 4h 2h,Tc6c,0.663,20.40,20.7005,153.76
7h 4h 2h,Tc7c,0.589,59.95,41.6602,105.284
7h 4h 2h,Tc8c,0.643,21.70,21.5224,150.271
7h 4h 2h,Tc9c,0.718,21.66,20.5871,143.985
7h 4h 2h,Tc8d,0.531,21.69,21.524,150.358
7h 4h 2h,Tc9d,0.777,21.71,20.6461,144.082
7h 4h 2h,Tc8h,0.500,42.31,35.2389,126.194
7h 4h 2h,Tc9h,0.692,43.46,35.3216,123.134
7h 4h 2h,Tc8s,0.531,21.69,21.524,150.358
7h 4h 2h,Tc9s,0.777,21.71,20.6461,144.082
7h 4h 2h,Jc4c,0.209,52.42,34.6816,100.242
7h 4h 2h,Jc5c,0.635,22.60,20.5774,137.963
7h 4h 2h,Jc6c,0.523,22.31,19.9549,135.522
7h 4h 2h,Jc7c,0.634,60.11,41.787,105.326
7h 4h 2h,Jc8c,0.642,23.54,20.7192,133.369
7h 4h 2h,Jc9c,0.594,23.44,19.7843,127.903
7h 4h 2h,JcTc,0.558,25.02,20.054,121.428
7h 4h 2h,Jc8d,0.224,23.50,20.6895,133.417
7h 4h 2h,Jc9d,0.640,23.47,19.836,128.062
7h 4h 2h,JcTd,0.586,25.05,20.098,121.567
7h 4h 2h,Jc8h,0.264,43.82,34.648,119.792
7h 4h 2h,Jc9h,0.686,44.94,34.6446,116.808
7h 4h 2h,JcTh,0.534,47.51,36.7765,117.275
7h 4h 2h,Jc8s,0.224,23.50,20.6895,133.417
7h 4h 2h,Jc9s,0.640,23.47,19.836,128.062
7h 4h 2h,JcTs,0.586,25.05,20.098,121.567
7h 4h 2h,Qc2c,0.194,48.01,31.331,98.8693
7h 4h 2h,Qc3c,0.593,24.91,19.3724,117.823
7h 4h 2h,Qc4c,0.563,52.70,34.8629,100.237
7h 4h 2h,Qc5c,0.648,26.78,20.6387,116.749
7h 4h 2h,Qc6c,0.681,26.58,20.0436,114.245
7h 4h 2h,Qc7c,0.684,60.37,42.1632,105.819
7h 4h 2h,Qc8c,0.603,26.92,20.1391,113.363
7h 4h 2h,Qc9c,0.499,26.88,19.2315,108.418
7h 4h 2h,QcTc,0.500,28.46,19.5528,104.082
7h 4h 2h,QcJc,0.480,29.90,19.7643,100.157
7h 4h 2h,Qc8d,0.025,26.87,20.0493,113.065
7h 4h 2h,Qc9d,0.530,26.90,19.278,108.584
7h 4h 2h,QcTd,0.533,28.48,19.595,104.234
7h 4h 2h,QcJd,0.480,29.92,19.7979,100.262
7h 4h 2h,Qc8h,0.052,46.56,34.2435,111.43
7h 4h 2h,Qc9h,0.706,47.74,34.1707,108.45
7h 4h 2h,QcTh,0.571,50.30,36.345,109.473
7h 4h 2h,QcJh,0.568,52.98,39.4297,112.765
7h 4h 2h,Qc8s,0.025,26.87,20.0493,113.065
7h 4h 2h,Qc9s,0.530,26.90,19.278,108.584
7h 4h 2h,QcTs,0.533,28.48,19.595,104.234
7h 4h 2h,QcJs,0.480,29.92,19.7979,100.262
7h 4h 2h,Kc2c,0.700,48.49,31.656,98.9229
7h 4h 2h,Kc3c,0.581,30.62,19.7174,97.5661
7h 4h 2h,Kc4c,0.751,53.06,35.3218,100.859
7h 4h 2h,Kc5c,0.700,32.43,21.0546,98.3713
7h 4h 2h,Kc6c,0.768,32.35,20.5246,96.1356
7h 4h 2h,Kc7c,0.767,60.76,42.8338,106.808
7h 4h 2h,Kc8c,0.828,33.16,20.7555,94.8458
7h 4h 2h,Kc9c,0.427,33.65,20.1614,90.7878
7h 4h 2h,KcTc,0.447,35.15,20.8588,89.9075
7h 4h 2h,KcJc,0.473,36.47,21.5549,89.5489
7h 4h 2h,KcQc,0.571,37.59,22.3148,89.9334
7h 4h 2h,Kc7d,0.025,60.79,42.9004,106.933
7h 4h 2h,Kc8d,0.570,33.14,20.712,94.6989
7h 4h 2h,Kc9d,0.439,33.66,20.1843,90.8614
7h 4h 2h,KcTd,0.440,35.16,20.8684,89.9336
7h 4h 2h,KcJd,0.464,36.48,21.5661,89.5769
7h 4h 2h,KcQd,0.569,37.60,22.3349,89.9906
7h 4h 2h,Kc8h,0.490,51.47,34.3564,101.138
7h 4h 2h,Kc9h,0.403,53.02,34.8348,99.539
7h 4h 2h,KcTh,0.405,55.51,37.4551,102.24
7h 4h 2h,KcJh,0.420,58.08,40.9899,106.924
7h 4h 2h,KcQh,0.484,60.23,45.1381,113.554
7h 4h 2h,Kc7s,0.025,60.79,42.9005,106.933
7h 4h 2h,Kc8s,0.570,33.14,20.712,94.6989
7h 4h 2h,Kc9s,0.439,33.66,20.1843,90.8614
7h 4h 2h,KcTs,0.440,35.16,20.8684,89.9337
7h 4h 2h,KcJs,0.464,36.48,21.5661,89.5769
7h 4h 2h,KcQs,0.569,37.60,22.3349,89.9907
7h 4h 2h,Ac2c,0.656,49.60,31.8767,97.38
7h 4h 2h,Ac3c,0.527,43.53,27.0773,94.257
7h 4h 2h,Ac4c,0.660,54.42,35.8225,99.7449
7h 4h 2h,Ac5c,0.548,45.63,28.9671,96.1922
7h 4h 2h,Ac6c,0.504,40.43,23.2388,87.0864
7h 4h 2h,Ac7c,0.725,62.47,44.4781,107.883
7h 4h 2h,Ac8c,0.664,42.85,24.8801,87.9743
7h 4h 2h,Ac9c,0.578,43.95,25.245,87.0307
7h 4h 2h,AcTc,0.712,45.47,26.3436,87.7729
7h 4h 2h,AcJc,0.773,46.57,27.0914,88.1424
7h 4h 2h,AcQc,0.667,47.33,27.6489,88.5063
7h 4h 2h,AcKc,0.842,47.76,28.2564,89.6479
7h 4h 2h,Ac3d,0.481,43.52,27.055,94.2015
7h 4h 2h,Ac4d,0.657,54.42,35.8225,99.7418
7h 4h 2h,Ac5d,0.559,45.63,28.9703,96.1989
7h 4h 2h,Ac6d,0.525,40.43,23.2318,87.07
7h 4h 2h,Ac7d,0.724,62.46,44.4743,107.887
7h 4h 2h,Ac8d,0.663,42.85,24.8882,87.9947
7h 4h 2h,Ac9d,0.578,43.95,25.2456,87.032
7h 4h 2h,AcTd,0.714,45.48,26.3461,87.7802
7h 4h 2h,AcJd,0.759,46.57,27.0794,88.1109
7h 4h 2h,AcQd,0.678,47.34,27.6631,88.5449
7h 4h 2h,AcKd,0.843,47.76,28.2566,89.6486
7h 4h 2h,Ac3h,0.579,56.94,37.3128,99.2817
7h 4h 2h,Ac5h,0.495,59.18,40.1092,102.686
7h 4h 2h,Ac6h,0.445,56.40,35.6011,95.6356
7h 4h 2h,Ac8h,0.216,59.01,37.6765,96.7315
7h 4h 2h,Ac9h,0.550,61.03,39.4893,98.0413
7h 4h 2h,AcTh,0.575,63.52,42.4673,101.299
7h 4h 2h,AcJh,0.406,65.95,46.0293,105.744
7h 4h 2h,AcQh,0.482,67.75,50.0772,111.994
7h 4h 2h,AcKh,0.696,69.56,56.4882,123.041
7h 4h 2h,Ac3s,0.481,43.52,27.055,94.2015
7h 4h 2h,Ac4s,0.657,54.42,35.8225,99.7418
7h 4h 2h,Ac5s,0.559,45.63,28.9703,96.1989
7h 4h 2h,Ac6s,0.525,40.43,23.2318,87.07
7h 4h 2h,Ac7s,0.724,62.46,44.4743,107.887
7h 4h 2h,Ac8s,0.663,42.85,24.8882,87.9947
7h 4h 2h,Ac9s,0.578,43.95,25.2456,87.032
7h 4h 2h,AcTs,0.714,45.48,26.3461,87.7802
7h 4h 2h,AcJs,0.759,46.57,27.0794,88.1108
7h 4h 2h,AcQs,0.678,47.34,27.6631,88.5449
7h 4h 2h,AcKs,0.843,47.76,28.2566,89.6486
7h 4h 2h,2d2c,0.743,81.36,94.7875,176.516
7h 4h 2h,3d3c,0.522,46.91,29.853,96.4186
7h 4h 2h,4d4c,0.744,82.25,101.235,186.486
7h 4h 2h,5d5c,0.650,53.67,35.9832,101.576
7h 4h 2h,5d4d,0.211,53.20,35.8744,102.175
7h 4h 2h,6d6c,0.519,54.76,36.8934,102.078
7h 4h 2h,6d5d,0.496,35.90,34.2909,144.74
7h 4h 2h,7d7c,0.765,83.22,109.073,198.594
7h 4h 2h,7d5d,0.647,58.80,41.1132,105.943
7h 4h 2h,7d6d,0.649,58.67,40.9665,105.791
7h 4h 2h,8d8c,0.676,61.69,45.3099,111.278
7h 4h 2h,8d6d,0.526,28.21,27.8809,149.764
7h 4h 2h,8d7d,0.576,59.77,41.7419,105.814
7h 4h 2h,9d8c,0.294,20.37,21.5179,160.025
7h 4h 2h,9d9c,0.611,62.97,46.5155,111.919
7h 4h 2h,9d6d,0.540,19.15,20.6516,163.427
7h 4h 2h,9d7d,0.537,59.82,41.5113,105.135
7h 4h 2h,9d8d,0.575,20.40,21.5111,159.763
7h 4h 2h,9d8h,0.297,41.27,35.411,129.997
7h 4h 2h,9d8s,0.294,20.37,21.5179,160.025
7h 4h 2h,Td8c,0.531,21.69,21.524,150.358
7h 4h 2h,Td9c,0.777,21.71,20.6461,144.082
7h 4h 2h,TdTc,0.517,64.72,47.9626,112.281
7h 4h 2h,Td5d,0.076,19.78,20.7214,158.711
7h 4h 2h,Td6d,0.663,20.40,20.7005,153.76
7h 4h 2h,Td7d,0.589,59.95,41.6602,105.284
7h 4h 2h,Td8d,0.643,21.70,21.5224,150.271
7h 4h 2h,Td9d,0.718,21.66,20.5871,143.985
7h 4h 2h,Td8h,0.500,42.31,35.2389,126.194
7h 4h 2h,Td9h,0.692,43.46,35.3216,123.134
7h 4h 2h,Td8s,0.531,21.69,21.524,150.358
7h 4h 2h,Td9s,0.777,21.71,20.6461,144.082
7h 4h 2h,Jd8c,0.224,23.50,20.6895,133.417
7h 4h 2h,Jd9c,0.640,23.47,19.836,128.062
7h 4h 2h,JdTc,0.586,25.05,20.098,121.567
7h 4h 2h,JdJc,0.495,66.06,49.2885,113.047
7h 4h 2h,Jd4d,0.209,52.42,34.6816,100.242
7h 4h 2h,Jd5d,0.635,22.60,20.5774,137.963
7h 4h 2h,Jd6d,0.523,22.31,19.9549,135.522
7h 4h 2h,Jd7d,0.634,60.11,41.787,105.327
7h 4h 2h,Jd8d,0.642,23.54,20.7192,133.369
7h 4h 2h,Jd9d,0.594,23.44,19.7843,127.903
7h 4h 2h,JdTd,0.558,25.02,20.054,121.428
7h 4h 2h,Jd8h,0.264,43.82,34.648,119.792
7h 4h 2h,Jd9h,0.686,44.94,34.6446,116.808
7h 4h 2h,JdTh,0.534,47.51,36.7765,117.275
7h 4h 2h,Jd8s,0.224,23.50,20.6895,133.417
7h 4h 2h,Jd9s,0.640,23.47,19.836,128.062
7h 4h 2h,JdTs,0.586,25.05,20.098,121.567
7h 4h 2h,Qd8c,0.025,26.87,20.0493,113.065
7h 4h 2h,Qd9c,0.530,26.90,19.278,108.584
7h 4h 2h,QdTc,0.533,28.48,19.595,104.234
7h 4h 2h,QdJc,0.480,29.92,19.7979,100.262
7h 4h 2h,QdQc,0.399,67.45,50.7137,113.915
7h 4h 2h,Qd2d,0.194,48.01,31.331,98.8693
7h 4h 2h,Qd3d,0.593,24.91,19.3724,117.823
7h 4h 2h,Qd4d,0.563,52.70,34.8629,100.237
7h 4h 2h,Qd5d,0.648,26.78,20.6387,116.749
7h 4h 2h,Qd6d,0.681,26.58,20.0436,114.245
7h 4h 2h,Qd7d,0.684,60.37,42.1631,105.819
7h 4h 2h,Qd8d,0.603,26.92,20.1391,113.363
7h 4h 2h,Qd9d,0.499,26.88,19.2315,108.418
7h 4h 2h,QdTd,0.500,28.46,19.5528,104.082
7h 4h 2h,QdJd,0.480,29.90,19.7643,100.158
7h 4h 2h,Qd8h,0.052,46.56,34.2435,111.43
7h 4h 2h,Qd9h,0.706,47.74,34.1707,108.45
7h 4h 2h,QdTh,0.571,50.30,36.345,109.473
7h 4h 2h,QdJh,0.568,52.98,39.4297,112.765
7h 4h 2h,Qd8s,0.025,26.87,20.0493,113.065
7h 4h 2h,Qd9s,0.530,26.90,19.278,108.584
7h 4h 2h,QdTs,0.533,28.48,19.595,104.234
7h 4h 2h,QdJs,0.480,29.92,19.7979,100.262
7h 4h 2h,Kd7c,0.025,60.79,42.9004,106.933
7h 4h 2h,Kd8c,0.570,33.14,20.712,94.6988
7h 4h 2h,Kd9c,0.439,33.66,20.1843,90.8614
7h 4h 2h,KdTc,0.440,35.16,20.8684,89.9336
7h 4h 2h,KdJc,0.464,36.48,21.5661,89.5769
7h 4h 2h,KdQc,0.569,37.60,22.3349,89.9906
7h 4h 2h,KdKc,0.187,68.88,52.3579,115.167
7h 4h 2h,Kd2d,0.700,48.49,31.6559,98.9229
7h 4h 2h,Kd3d,0.581,30.62,19.7174,97.566
7h 4h 2h,Kd4d,0.751,53.06,35.3218,100.859
7h 4h 2h,Kd5d,0.700,32.43,21.0546,98.3713
7h 4h 2h,Kd6d,0.768,32.35,20.5246,96.1356
7h 4h 2h,Kd7d,0.767,60.76,42.8338,106.808
7h 4h 2h,Kd8d,0.828,33.16,20.7555,94.8458
7h 4h 2h,Kd9d,0.427,33.65,20.1614,90.7878
7h 4h 2h,KdTd,0.447,35.15,20.8588,89.9075
7h 4h 2h,KdJd,0.473,36.47,21.5549,89.5489
7h 4h 2h,KdQd,0.571,37.59,22.3148,89.9334
7h 4h 2h,Kd8h,0.490,51.47,34.3564,101.138
7h 4h 2h,Kd9h,0.403,53.02,34.8348,99.539
7h 4h 2h,KdTh,0.405,55.51,37.4551,102.24
7h 4h 2h,KdJh,0.420,58.08,40.9899,106.924
7h 4h 2h,KdQh,0.484,60.23,45.1381,113.554
7h 4h 2h,Kd7s,0.025,60.79,42.9005,106.933
7h 4h 2h,Kd8s,0.570,33.14,20.712,94.6989
7h 4h 2h,Kd9s,0.439,33.66,20.1843,90.8614
7h 4h 2h,KdTs,0.440,35.16,20.8684,89.9336
7h 4h 2h,KdJs,0.464,36.48,21.5661,89.5768
7h 4h 2h,KdQs,0.569,37.60,22.3349,89.9907
7h 4h 2h,Ad3c,0.481,43.52,27.055,94.2015
7h 4h 2h,Ad4c,0.657,54.42,35.8224,99.7418
7h 4h 2h,Ad5c,0.559,45.63,28.9703,96.1989
7h 4h 2h,Ad6c,0.525,40.43,23.2318,87.07
7h 4h 2h,Ad7c,0.724,62.46,44.4743,107.887
7h 4h 2h,Ad8c,0.663,42.85,24.8882,87.9947
7h 4h 2h,Ad9c,0.578,43.95,25.2456,87.032
7h 4h 2h,AdTc,0.714,45.48,26.3461,87.7802
7h 4h 2h,AdJc,0.759,46.57,27.0794,88.1109
7h 4h 2h,AdQc,0.678,47.34,27.6631,88.5449
7h 4h 2h,AdKc,0.843,47.76,28.2566,89.6486
7h 4h 2h,AdAc,0.189,71.50,54.3636,115.196
7h 4h 2h,Ad2d,0.656,49.60,31.8767,97.3801
7h 4h 2h,Ad3d,0.527,43.53,27.0773,94.2569
7h 4h 2h,Ad4d,0.660,54.42,35.8224,99.7448
7h 4h 2h,Ad5d,0.548,45.63,28.9671,96.1922
7h 4h 2h,Ad6d,0.504,40.43,23.2388,87.0864
7h 4h 2h,Ad7d,0.725,62.47,44.478,107.883
7h 4h 2h,Ad8d,0.664,42.85,24.8801,87.9742
7h 4h 2h,Ad9d,0.578,43.95,25.245,87.0307
7h 4h 2h,AdTd,0.712,45.47,26.3436,87.7728
7h 4h 2h,AdJd,0.773,46.57,27.0914,88.1424
7h 4h 2h,AdQd,0.667,47.33,27.6489,88.5063
7h 4h 2h,AdKd,0.842,47.76,28.2564,89.6478
7h 4h 2h,Ad3h,0.579,56.94,37.3128,99.2816
7h 4h 2h,Ad5h,0.495,59.18,40.1092,102.686
7h 4h 2h,Ad6h,0.445,56.40,35.6011,95.6356
7h 4h 2h,Ad8h,0.216,59.01,37.6765,96.7315
7h 4h 2h,Ad9h,0.550,61.03,39.4893,98.0413
7h 4h 2h,AdTh,0.575,63.52,42.4673,101.299
7h 4h 2h,AdJh,0.406,65.95,46.0293,105.744
7h 4h 2h,AdQh,0.482,67.75,50.0772,111.995
7h 4h 2h,AdKh,0.696,69.56,56.4882,123.041
7h 4h 2h,Ad3s,0.481,43.52,27.055,94.2015
7h 4h 2h,Ad4s,0.657,54.42,35.8224,99.7418
7h 4h 2h,Ad5s,0.559,45.63,28.9703,96.1989
7h 4h 2h,Ad6s,0.525,40.43,23.2318,87.07
7h 4h 2h,Ad7s,0.724,62.46,44.4743,107.887
7h 4h 2h,Ad8s,0.663,42.85,24.8882,87.9947
7h 4h 2h,Ad9s,0.578,43.95,25.2456,87.032
7h 4h 2h,AdTs,0.714,45.48,26.3461,87.7802
7h 4h 2h,AdJs,0.759,46.57,27.0794,88.1108
7h 4h 2h,AdQs,0.678,47.34,27.6631,88.5449
7h 4h 2h,AdKs,0.843,47.76,28.2566,89.6485
7h 4h 2h,3h3c,0.576,60.32,40.5524,101.868
7h 4h 2h,3h3d,0.576,60.32,40.5524,101.868
7h 4h 2h,5h5c,0.633,65.90,46.8131,107.634
7h 4h 2h,5h5d,0.633,65.90,46.8131,107.634
7h 4h 2h,6h6c,0.609,67.54,48.9672,109.858
7h 4h 2h,6h6d,0.609,67.54,48.9672,109.858
7h 4h 2h,6h5h,0.657,89.54,103.456,175.07
7h 4h 2h,8h8c,0.713,73.04,57.0124,118.273
7h 4h 2h,8h8d,0.713,73.04,57.0124,118.273
7h 4h 2h,8h6h,0.739,89.07,98.3457,167.294
7h 4h 2h,9h8c,0.242,42.23,35.983,129.091
7h 4h 2h,9h9c,0.738,75.20,59.3976,119.682
7h 4h 2h,9h8d,0.242,42.23,35.983,129.091
7h 4h 2h,9h9d,0.738,75.20,59.3976,119.682
7h 4h 2h,9h6h,0.642,88.87,93.7916,159.899
7h 4h 2h,9h8h,0.817,88.61,94.219,161.105
7h 4h 2h,9h8s,0.242,42.23,35.983,129.091
7h 4h 2h,Th8c,0.380,44.60,37.8394,128.536
7h 4h 2h,Th9c,0.571,44.86,37.3414,126.117
7h 4h 2h,ThTc,0.672,77.76,62.6477,122.066
7h 4h 2h,Th8d,0.380,44.60,37.8394,128.536
7h 4h 2h,Th9d,0.571,44.86,37.3414,126.117
7h 4h 2h,ThTd,0.672,77.76,62.6477,122.066
7h 4h 2h,Th5h,0.095,90.19,97.4961,163.795
7h 4h 2h,Th6h,0.582,90.18,95.9771,161.249
7h 4h 2h,Th8h,0.694,89.98,96.5782,162.622
7h 4h 2h,Th9h,0.780,89.64,96.4081,162.957
7h 4h 2h,Th8s,0.380,44.60,37.8394,128.536
7h 4h 2h,Th9s,0.571,44.86,37.3414,126.117
7h 4h 2h,Jh8c,0.180,47.66,40.2803,128.068
7h 4h 2h,Jh9c,0.643,47.82,39.5954,125.454
7h 4h 2h,JhTc,0.523,49.15,39.7712,122.606
7h 4h 2h,JhJc,0.649,80.37,67.3231,126.919
7h 4h 2h,Jh8d,0.180,47.66,40.2803,128.068
7h 4h 2h,Jh9d,0.643,47.82,39.5954,125.454
7h 4h 2h,JhTd,0.523,49.15,39.7712,122.606
7h 4h 2h,JhJd,0.649,80.37,67.3231,126.918
7h 4h 2h,Jh5h,0.611,91.85,102.423,168.957
7h 4h 2h,Jh6h,0.564,91.83,100.967,166.599
7h 4h 2h,Jh8h,0.701,91.70,101.87,168.322
7h 4h 2h,Jh9h,0.753,91.43,102.114,169.216
7h 4h 2h,JhTh,0.760,91.40,101.25,167.836
7h 4h 2h,Jh8s,0.180,47.66,40.2803,128.068
7h 4h 2h,Jh9s,0.643,47.82,39.5954,125.454
7h 4h 2h,JhTs,0.523,49.15,39.7712,122.606
7h 4h 2h,Qh8c,0.042,51.63,43.5351,127.758
7h 4h 2h,Qh9c,0.706,51.78,42.5733,124.577
7h 4h 2h,QhTc,0.667,53.11,42.772,122.015
7h 4h 2h,QhJc,0.618,54.32,42.9916,119.92
7h 4h 2h,QhQc,0.703,82.53,72.1306,132.424
7h 4h 2h,Qh8d,0.042,51.63,43.5351,127.758
7h 4h 2h,Qh9d,0.706,51.78,42.5733,124.578
7h 4h 2h,QhTd,0.667,53.11,42.772,122.015
7h 4h 2h,QhJd,0.618,54.32,42.9916,119.92
7h 4h 2h,QhQd,0.703,82.53,72.1306,132.424
7h 4h 2h,Qh3h,0.640,93.48,112.477,182.313
7h 4h 2h,Qh5h,0.643,93.42,109.94,178.309
7h 4h 2h,Qh6h,0.642,93.41,109.015,176.832
7h 4h 2h,Qh8h,0.688,93.31,110.188,178.915
7h 4h 2h,Qh9h,0.699,93.13,111.071,180.701
7h 4h 2h,QhTh,0.708,93.10,110.235,179.4
7h 4h 2h,QhJh,0.695,93.12,108.089,175.874
7h 4h 2h,Qh8s,0.042,51.63,43.5351,127.758
7h 4h 2h,Qh9s,0.706,51.78,42.5733,124.578
7h 4h 2h,QhTs,0.667,53.11,42.772,122.015
7h 4h 2h,QhJs,0.618,54.32,42.9916,119.92
7h 4h 2h,Kh7c,0.032,79.32,72.4099,138.322
7h 4h 2h,Kh8c,0.503,57.80,49.6144,130.049
7h 4h 2h,Kh9c,0.595,58.33,48.968,127.208
